zip_code,total_vax
20906,50900
20878,47899
20874,42928
21234,41723
20904,39091
20854,37552
20850,37324
21122,37031
21117,36945
20902,36020
21043,35916
21228,35587
21224,33470
21042,33390
20852,32947
21061,31544
21044,31499
20774,31123
21222,30767
21215,29611
21093,29440
21740,29210
20772,28966
20910,28493
21045,28476
